state,level,office_or_chamber,party,official_url,press_listing_url,roster_url,detail_url_pattern,cms_family,requires_js,pagination,feed_rss,feed_wp_json,post_frequency_estimate,scraping_strategy,attribution_strategy,classification,confidence,weird_risks,_origin_file
AK,caucus,house_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.55,[],caucus_sources.json
AK,caucus,house_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,caucus_chamber_only,0.5,[],caucus_sources.json
AK,caucus,senate_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.55,['AK uses bipartisan-coalition majorities; party caucus structure unusual'],caucus_sources.json
AK,caucus,senate_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,caucus_chamber_only,0.5,[],caucus_sources.json
AL,caucus,house_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.65,[],caucus_sources.json
AL,caucus,house_R_caucus,R,,https://alhousegop.org/news/,,/{slug}/,wordpress,unknown,,,https://alhousegop.org/wp-json/wp/v2/posts,unknown,,title_prefix,needs_profile,0.65,['wp-json returned empty in sample probe'],caucus_sources.json
AL,caucus,senate_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.65,[],caucus_sources.json
AL,caucus,senate_R_caucus,R,,https://alsenaterepublicans.org/news-and-updates/,,/{slug}/,wordpress,unknown,,https://alsenaterepublicans.org/feed/,https://alsenaterepublicans.org/wp-json/wp/v2/posts,weekly,wp-json,title_prefix,ready_first_wave,0.85,[],caucus_sources.json
AR,caucus,house_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.6,[],caucus_sources.json
AR,caucus,house_R_caucus,R,,https://www.arkansashouse.org/news/,,,unknown,unknown,,,,unknown,,ambiguous,caucus_chamber_only,0.55,[],caucus_sources.json
AR,caucus,senate_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.6,[],caucus_sources.json
AR,caucus,senate_R_caucus,R,,https://senate.arkansas.gov/senate-news/posts/category/news-releases/,,,unknown,unknown,,,,unknown,,ambiguous,caucus_chamber_only,0.65,[],caucus_sources.json
AZ,caucus,house_D_caucus,D,,https://www.azhousedemocrats.com/pressreleases,,,unknown,unknown,,,,weekly,HTML scrape,title_prefix,needs_profile,0.6,['wp-json 404'],caucus_sources.json
AZ,caucus,house_R_caucus,R,,,,,proprietary,unknown,,,,weekly,chamber site (azleg.gov press-releases),author_column,caucus_chamber_only,0.55,[],caucus_sources.json
AZ,caucus,senate_D_caucus,D,,https://www.arizonasenatedemocrats.com/news,,,unknown,unknown,,,,weekly,HTML scrape,title_prefix,needs_profile,0.5,['wp-json 404; /news 404 — listing path unclear'],caucus_sources.json
AZ,caucus,senate_R_caucus,R,,,,,unknown,unknown,,,,unknown,needs deeper recon,ambiguous,needs_profile,0.4,['wp-json 404 — not WP. Listing path unconfirmed.'],caucus_sources.json
CA,caucus,house_D_caucus,D,,https://asmdc.org/press-releases,,https://{slug}.asmdc.org/press-releases/{date}-{kebab-title},drupal,False,numbered,,,5+/day,Per-member subdomain crawl; aggregate at asmdc.org/press-releases,author_column,ready_first_wave,0.9,['TLS chain validation issue in some HTTP clients'],caucus_sources.json
CA,caucus,house_R_caucus,R,,https://asmrc.org/category/featured-news/,,https://asmrc.org/{kebab-title}/,wordpress,False,WP standard,https://asmrc.org/feed/,https://asmrc.org/wp-json/wp/v2/posts,2-4/week,wp-json,title_prefix,ready_first_wave,0.9,[],caucus_sources.json
CA,caucus,senate_D_caucus,D,,https://democrats.senate.ca.gov/news,,/news/{slug} (per-senator subdomain pattern: sd##.senate.ca.gov/news),drupal,False,numbered ?page=N,,,daily,httpx + selectors per Drupal listing; member-level subdomain crawl recommended,author_column,needs_profile,0.85,[],caucus_sources.json
CA,caucus,senate_R_caucus,R,,https://src.senate.ca.gov/news,,/content/{slug},drupal,False,numbered ?page=N,,,2-4/week,httpx + Drupal listing scrape,single_chamber_source,caucus_chamber_only,0.9,[],caucus_sources.json
CO,caucus,house_D_caucus,D,,https://www.cohousedems.com/news,,,unknown,unknown,,,,daily,HTML scrape,title_prefix,needs_profile,0.65,['wp-json 404'],caucus_sources.json
CO,caucus,house_R_caucus,R,,https://www.coloradohouserepublicans.com/news,,,unknown,unknown,month-archive,,,weekly,HTML scrape,title_prefix,needs_profile,0.65,['wp-json 404'],caucus_sources.json
CO,caucus,senate_D_caucus,D,,https://www.senatedems.co/newsroom,,,unknown,unknown,month-archive,,,weekly,HTML scrape,title_prefix,needs_profile,0.6,['wp-json 404 (not WP); CMS unclear'],caucus_sources.json
CO,caucus,senate_R_caucus,R,,https://www.coloradosenaterepublicans.com/pressreleases/,,/{slug}/,wordpress,False,WP standard,https://www.coloradosenaterepublicans.com/feed/,https://www.coloradosenaterepublicans.com/wp-json/wp/v2/posts,weekly,wp-json,title_prefix,ready_first_wave,0.9,[],caucus_sources.json
CT,caucus,house_D_caucus,D,,https://www.housedems.ct.gov/news,,/{rep-slug}/news/{slug},wordpress,False,WP standard,,,daily,HTML scrape; wp-json status not tested,author_column,needs_profile,0.75,[],caucus_sources.json
CT,caucus,house_R_caucus,R,,https://www.cthousegop.com/caucus-newsroom/,,/{slug}/,unknown,unknown,unknown,,,weekly,HTML scrape,author_column,needs_profile,0.55,"[""wp-json 404; site returned 'Content Not Found' for /caucus-newsroom/ on test""]",caucus_sources.json
CT,caucus,senate_D_caucus,D,,https://www.senatedems.ct.gov/news,,/{senator-slug}/{slug},wordpress,False,WP standard,,https://www.senatedems.ct.gov/wp-json/wp/v2/posts,daily,wp-json,author_column,ready_first_wave,0.9,[],caucus_sources.json
CT,caucus,senate_R_caucus,R,,https://www.ctsenaterepublicans.com/,,/{slug}/,wordpress,False,WP standard,https://www.ctsenaterepublicans.com/feed/,https://www.ctsenaterepublicans.com/wp-json/wp/v2/posts,daily,wp-json,author_column,ready_first_wave,0.9,[],caucus_sources.json
DE,caucus,house_D_caucus,D,,https://housedems.delaware.gov/news/,,,wordpress,unknown,,,,unknown,,author_column,needs_profile,0.7,['URL inferred from convention; not directly verified'],caucus_sources.json
DE,caucus,house_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.6,[],caucus_sources.json
DE,caucus,senate_D_caucus,D,,https://senatedems.delaware.gov/news/,,/{year}/{month}/{slug}/,wordpress,unknown,,https://senatedems.delaware.gov/feed/,https://senatedems.delaware.gov/wp-json/wp/v2/posts,weekly,wp-json,author_column,ready_first_wave,0.9,[],caucus_sources.json
DE,caucus,senate_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.6,['No DE Senate GOP caucus press site'],caucus_sources.json
FL,caucus,house_D_caucus,D,,https://floridahousedems.com/news/,,/{slug}/,wordpress,unknown,,https://floridahousedems.com/feed/,https://floridahousedems.com/wp-json/wp/v2/posts,rare,wp-json,single_chamber_source,needs_profile,0.5,['wp-json returns lorem-ipsum demo data — site may not be production-active'],caucus_sources.json
FL,caucus,house_R_caucus,R,,https://www.flhouse.gov,,,unknown,unknown,,,,unknown,,ambiguous,caucus_chamber_only,0.5,[],caucus_sources.json
FL,caucus,senate_D_caucus,D,,https://www.flsenate.gov/offices/minority,,,unknown,unknown,,,,unknown,,ambiguous,caucus_chamber_only,0.6,[],caucus_sources.json
FL,caucus,senate_R_caucus,R,,https://www.flsenate.gov/Media/PressReleases,,,unknown,unknown,,,,unknown,,ambiguous,caucus_chamber_only,0.6,[],caucus_sources.json
GA,caucus,house_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.5,['No standalone GA House Dem caucus press site found'],caucus_sources.json
GA,caucus,house_R_caucus,R,,,,,proprietary,unknown,,,,weekly,chamber site,author_column,caucus_chamber_only,0.5,[],caucus_sources.json
GA,caucus,senate_D_caucus,D,,,,,unknown,unknown,,,,unknown,needs deeper recon,ambiguous,needs_profile,0.4,['wp-json 404; /press 404'],caucus_sources.json
GA,caucus,senate_R_caucus,R,,https://senatepress.net/,,/{slug}.html,unknown,False,chronological,,,daily,HTML scrape (.html files),title_prefix,ready_first_wave,0.75,[],caucus_sources.json
HI,caucus,house_D_caucus,D,,https://www.hawaiihousedemocrats.com/newsroom,,,unknown,unknown,,,,unknown,,title_prefix,needs_profile,0.7,[],caucus_sources.json
HI,caucus,house_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.7,[],caucus_sources.json
HI,caucus,senate_D_caucus,D,,https://www.hawaiisenatemajority.com/press-releases,,,wix,unknown,,,,unknown,,title_prefix,needs_profile,0.7,[],caucus_sources.json
HI,caucus,senate_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.7,['Tiny GOP minority (~3 senators)'],caucus_sources.json
IA,caucus,house_D_caucus,D,,https://iowahouse.org/news,,,unknown,unknown,,,,weekly,HTML scrape,title_prefix,needs_profile,0.55,['wp-json 404'],caucus_sources.json
IA,caucus,house_R_caucus,R,,,,,unknown,unknown,,,,unknown,needs deeper recon,ambiguous,needs_profile,0.4,['URL inferred from convention; verify'],caucus_sources.json
IA,caucus,senate_D_caucus,D,,https://iowasenatedemocrats.com/news/,,/{slug}/,wordpress,False,WP standard,https://iowasenatedemocrats.com/feed/,https://iowasenatedemocrats.com/wp-json/wp/v2/posts,daily,wp-json,author_column,ready_first_wave,0.95,[],caucus_sources.json
IA,caucus,senate_R_caucus,R,,https://iowasenaterepublicans.com/news/,,/{slug}/,wordpress,False,WP standard,https://iowasenaterepublicans.com/feed/,https://iowasenaterepublicans.com/wp-json/wp/v2/posts,weekly,wp-json,title_prefix,ready_first_wave,0.9,[],caucus_sources.json
ID,caucus,house_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,needs_profile,0.65,[],caucus_sources.json
ID,caucus,house_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,caucus_chamber_only,0.55,[],caucus_sources.json
ID,caucus,senate_D_caucus,D,,https://idahodlcc.org/news/,,/{slug}/,wordpress,unknown,,https://idahodlcc.org/feed/,,unknown,,title_prefix,needs_profile,0.7,['IDLCC is campaign committee — covers Senate AND House Dems jointly'],caucus_sources.json
ID,caucus,senate_R_caucus,R,,https://www.idahosenategopcaucus.com/news,,,squarespace,unknown,,,,unknown,,title_prefix,needs_profile,0.7,[],caucus_sources.json
IL,caucus,house_D_caucus,D,,,,,unknown,unknown,,,,unknown,needs deeper recon,ambiguous,needs_profile,0.3,['IL House Dems caucus does not have prominent standalone press site; press distributed through ilga.gov member pages'],caucus_sources.json
IL,caucus,house_R_caucus,R,,https://ilhousegop.org/news/,,/{slug}/,wordpress,False,WP standard,https://ilhousegop.org/feed/,https://ilhousegop.org/wp-json/wp/v2/posts,2-4/week,wp-json (probe pending),title_prefix,needs_profile,0.6,['URL not directly verified this run — inferred from sister IL Senate GOP convention'],caucus_sources.json
IL,caucus,senate_D_caucus,D,,https://www.illinoissenatedemocrats.com/caucus-news,,/caucus-news/{cat-id}-senator-{name}-news/{post-id}-{slug},joomla,False,"numbered, 784 pages * 8 per page",,,daily,Joomla listing scrape; category-per-senator gives clean attribution,category_tag,ready_first_wave,0.9,[],caucus_sources.json
IL,caucus,senate_R_caucus,R,,https://ilsenategop.org/news/,,/{kebab-title}/,wordpress,False,WP standard,https://ilsenategop.org/feed/,https://ilsenategop.org/wp-json/wp/v2/posts,2-4/week,wp-json (open),title_prefix,ready_first_wave,0.9,[],caucus_sources.json
IN,caucus,house_D_caucus,D,,https://www.indianahousedemocrats.org/news,,,squarespace,False,month-archive,,,weekly,Squarespace HTML scrape,author_column,needs_profile,0.7,['wp-json 404 (not WP)'],caucus_sources.json
IN,caucus,house_R_caucus,R,,https://www.indianahouserepublicans.com/index.php?submenu=Press_Releases&src=news&srctype=press_release_lister,,index.php?submenu=Press_Releases&src=news&srctype=press_release_view&refno={id},accrisoft,False,id-based,,,daily,Accrisoft Freedom CMS scrape; URL params drive listing,title_prefix,needs_profile,0.7,['Custom CMS — needs targeted scraping'],caucus_sources.json
IN,caucus,senate_D_caucus,D,,https://indianasenatedemocrats.org/news/,,/{slug}/,wordpress,False,WP standard,https://indianasenatedemocrats.org/feed/,,weekly,HTML scrape (wp-json 401),title_prefix,needs_profile,0.7,['wp-json 401 locked'],caucus_sources.json
IN,caucus,senate_R_caucus,R,,https://www.indianasenaterepublicans.com/news,,,unknown,unknown,,,,weekly,HTML scrape,title_prefix,needs_profile,0.55,['wp-json 404'],caucus_sources.json
KS,caucus,house_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,needs_profile,0.5,[],caucus_sources.json
KS,caucus,house_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.5,[],caucus_sources.json
KS,caucus,senate_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,needs_profile,0.45,['URL exists but listing path not verified'],caucus_sources.json
KS,caucus,senate_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,caucus_chamber_only,0.5,[],caucus_sources.json
KY,caucus,house_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.6,['No KY House Dem caucus press site found'],caucus_sources.json
KY,caucus,house_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,needs_profile,0.4,['wp-json 404; KY House GOP press may live at separate domain'],caucus_sources.json
KY,caucus,senate_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.6,['No KY Senate Dem caucus press site found'],caucus_sources.json
KY,caucus,senate_R_caucus,R,,https://kysenaterepublicans.com/press-releases,,/{slug}/,unknown,unknown,,,,unknown,,title_prefix,needs_profile,0.5,['wp-json 404'],caucus_sources.json
LA,caucus,house_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,caucus_chamber_only,0.5,[],caucus_sources.json
LA,caucus,house_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,caucus_chamber_only,0.5,[],caucus_sources.json
LA,caucus,senate_D_caucus,D,,,,,unknown,unknown,,,,unknown,,ambiguous,do_not_claim_member_coverage,0.65,[],caucus_sources.json
LA,caucus,senate_R_caucus,R,,,,,unknown,unknown,,,,unknown,,ambiguous,caucus_chamber_only,0.5,[],caucus_sources.json
